Order_ID,Order_Date,Customer_ID,Product_ID,Store_ID,Quantity,Discount,Sales,Cost,Profit,Profit_Margin,Order_Month,Month_Name,Quarter
O004589,2025-12-29,C0833,P0102,S025,7,0.05,8500.43,7438.62,1061.81,0.12491250442624666,12,December,2025Q4
O005530,2025-12-29,C0216,P0082,S010,4,0.1,50175.43,38914.12,11261.31,0.22443873425698593,12,December,2025Q4
O005711,2025-12-29,C0660,P0002,S014,1,0.0,26523.14,18982.87,7540.27,0.2842902461774888,12,December,2025Q4
O000654,2025-12-28,C0303,P0061,S010,3,0.15,63278.66,59657.46,3621.2,0.057226243412866196,12,December,2025Q4
O001069,2025-12-28,C0619,P0018,S025,5,0.0,7880.8,5366.2,2514.6,0.31907928129123947,12,December,2025Q4
O001168,2025-12-28,C0601,P0116,S003,4,0.1,44528.08,36815.68,7712.4,0.17320306646951764,12,December,2025Q4
O001218,2025-12-28,C0588,P0062,S021,4,0.1,58147.7,47633.96,10513.74,0.1808109349123009,12,December,2025Q4
O001637,2025-12-28,C0538,P0050,S017,2,0.0,38213.02,29787.68,8425.34,0.2204834896587603,12,December,2025Q4
O001686,2025-12-28,C0753,P0105,S012,4,0.1,65688.73,48115.52,17573.21,0.26752245019807813,12,December,2025Q4
O001690,2025-12-28,C0974,P0080,S016,5,0.0,99005.45,64082.85,34922.6,0.352734117162237,12,December,2025Q4
O001763,2025-12-28,C0942,P0109,S004,8,0.1,100418.26,93757.28,6660.98,0.06633235827826532,12,December,2025Q4
O001769,2025-12-28,C0814,P0067,S011,4,0.15,70542.79,59100.36,11442.43,0.16220552093275586,12,December,2025Q4
O001911,2025-12-28,C0249,P0098,S004,7,0.0,141508.15,93542.05,47966.1,0.33896351552896425,12,December,2025Q4
O002051,2025-12-28,C0499,P0032,S009,7,0.0,265199.76,177975.91,87223.85,0.32889867622806296,12,December,2025Q4
O003616,2025-12-28,C0610,P0051,S007,6,0.15,21795.92,19335.42,2460.5,0.11288810015819475,12,December,2025Q4
O003987,2025-12-28,C0789,P0070,S003,3,0.0,35737.71,24148.02,11589.69,0.32429861902175605,12,December,2025Q4
O004476,2025-12-28,C0619,P0090,S016,4,0.2,66701.73,73388.28,-6686.55,-0.10024552586567095,12,December,2025Q4
O004785,2025-12-28,C0101,P0075,S022,5,0.0,175358.1,132366.45,42991.65,0.24516489400831784,12,December,2025Q4
O005763,2025-12-28,C0333,P0041,S009,1,0.2,29670.75,25552.56,4118.19,0.13879628927479082,12,December,2025Q4
O000053,2025-12-27,C0890,P0087,S017,4,0.2,111192.96,91198.6,19994.36,0.17981677976735216,12,December,2025Q4
O000161,2025-12-27,C0992,P0067,S021,5,0.2,82991.52,73875.45,9116.07,0.10984339122840502,12,December,2025Q4
O000468,2025-12-27,C0824,P0037,S019,4,0.0,147855.84,106840.36,41015.48,0.27740182599483393,12,December,2025Q4
O000472,2025-12-27,C0611,P0115,S019,8,0.15,229124.03,204618.16,24505.87,0.10695460445593594,12,December,2025Q4
O000497,2025-12-27,C0574,P0106,S012,2,0.05,29529.38,22599.02,6930.36,0.2346937185948367,12,December,2025Q4
O001331,2025-12-27,C0457,P0119,S004,2,0.15,6674.23,6843.04,-168.81,-0.025292805312373115,12,December,2025Q4
O001803,2025-12-27,C0781,P0094,S014,1,0.0,15004.92,10268.41,4736.51,0.3156637956083738,12,December,2025Q4
O002045,2025-12-27,C0208,P0027,S022,5,0.05,59485.96,47048.9,12437.06,0.20907555329022176,12,December,2025Q4
O003002,2025-12-27,C0342,P0075,S008,5,0.0,175358.1,132366.45,42991.65,0.24516489400831784,12,December,2025Q4
O003272,2025-12-27,C0804,P0071,S004,1,0.2,5341.45,4703.69,637.76,0.11939829072630091,12,December,2025Q4
O003373,2025-12-27,C0966,P0057,S022,7,0.0,311238.69,206928.61,104310.08,0.33514496542830197,12,December,2025Q4
O003384,2025-12-27,C0196,P0109,S005,8,0.15,94839.46,93757.28,1082.18,0.011410651220494086,12,December,2025Q4
O003984,2025-12-27,C0280,P0111,S013,7,0.1,165697.12,137321.1,28376.02,0.17125234282889165,12,December,2025Q4
O004331,2025-12-27,C0061,P0032,S020,7,0.2,212159.81,177975.91,34183.9,0.1611233531930482,12,December,2025Q4
O004826,2025-12-27,C0119,P0120,S008,6,0.2,58815.22,59334.48,-519.26,-0.008828667137519846,12,December,2025Q4
O005012,2025-12-27,C0014,P0059,S001,6,0.2,10882.42,10775.76,106.66,0.009801128793044194,12,December,2025Q4
O005441,2025-12-27,C0207,P0021,S005,1,0.0,24413.8,19774.56,4639.24,0.1900253135521713,12,December,2025Q4
O000873,2025-12-26,C0456,P0063,S016,1,0.1,1841.53,1824.24,17.29,0.009388932029345164,12,December,2025Q4
O001418,2025-12-26,C0691,P0013,S011,7,0.2,51622.03,43006.88,8615.15,0.16688902005597223,12,December,2025Q4
O001677,2025-12-26,C0438,P0071,S005,2,0.1,12018.26,9407.38,2610.88,0.21724276226342248,12,December,2025Q4
O002952,2025-12-26,C0603,P0070,S024,7,0.1,75049.19,56345.38,18703.81,0.2492206777981215,12,December,2025Q4
O003110,2025-12-26,C0728,P0111,S010,1,0.0,26301.13,19617.3,6683.83,0.25412710404457906,12,December,2025Q4
O003278,2025-12-26,C0137,P0108,S016,2,0.05,60594.02,45038.08,15555.94,0.2567240133597342,12,December,2025Q4
O003796,2025-12-26,C0849,P0111,S020,1,0.0,26301.13,19617.3,6683.83,0.25412710404457906,12,December,2025Q4
O003995,2025-12-26,C0340,P0014,S018,2,0.2,44525.7,37992.96,6532.74,0.14671841206314556,12,December,2025Q4
O004910,2025-12-26,C0715,P0010,S007,3,0.05,4869.57,3697.65,1171.92,0.24066190649277044,12,December,2025Q4
O004970,2025-12-26,C0106,P0056,S003,2,0.05,82738.22,56533.32,26204.9,0.31672061593783385,12,December,2025Q4
O005190,2025-12-26,C0491,P0032,S024,7,0.15,225419.8,177975.91,47443.89,0.2104690448665113,12,December,2025Q4
O005431,2025-12-26,C0745,P0068,S021,3,0.0,59069.19,49244.88,9824.31,0.16631868491848287,12,December,2025Q4
O001243,2025-12-25,C0021,P0051,S018,8,0.0,34189.68,25780.56,8409.12,0.2459549197301642,12,December,2025Q4
O001566,2025-12-25,C0734,P0052,S013,7,0.0,194196.31,159569.62,34626.69,0.17830766197359776,12,December,2025Q4
O001747,2025-12-25,C0138,P0094,S006,2,0.0,30009.84,20536.82,9473.02,0.3156637956083738,12,December,2025Q4
O001888,2025-12-25,C0992,P0065,S018,5,0.0,18680.15,15451.05,3229.1,0.172862637612653,12,December,2025Q4
O002177,2025-12-25,C0658,P0072,S010,3,0.1,79684.21,60331.83,19352.38,0.2428634230043819,12,December,2025Q4
O002641,2025-12-25,C0528,P0013,S016,4,0.2,29498.3,24575.36,4922.94,0.16688893936260732,12,December,2025Q4
O003136,2025-12-25,C0875,P0061,S001,1,0.0,24815.16,19885.82,4929.34,0.19864228157303843,12,December,2025Q4
O003347,2025-12-25,C0850,P0084,S003,5,0.15,100961.43,78433.55,22527.88,0.22313352732820843,12,December,2025Q4
O003528,2025-12-25,C0631,P0025,S017,3,0.0,4436.67,3121.68,1314.99,0.29639121232816507,12,December,2025Q4
O004203,2025-12-25,C0448,P0091,S016,3,0.1,16738.7,13460.43,3278.27,0.19584973743480674,12,December,2025Q4
O004414,2025-12-25,C0630,P0012,S018,5,0.0,12509.6,10085.9,2423.7,0.19374720214874974,12,December,2025Q4
O004452,2025-12-25,C0418,P0049,S001,4,0.1,60447.49,46803.72,13643.77,0.22571276325948358,12,December,2025Q4
O004814,2025-12-25,C0525,P0057,S025,2,0.0,88925.34,59122.46,29802.88,0.335144965428302,12,December,2025Q4
O005063,2025-12-25,C0705,P0025,S015,7,0.0,10352.23,7283.92,3068.31,0.29639121232816507,12,December,2025Q4
O005485,2025-12-25,C0638,P0063,S009,8,0.05,15550.66,14593.92,956.74,0.06152407679159599,12,December,2025Q4
O005508,2025-12-25,C0142,P0064,S005,1,0.2,27500.4,24752.14,2748.26,0.09993527366874663,12,December,2025Q4
O005588,2025-12-25,C0220,P0024,S012,6,0.05,51929.28,43495.32,8433.96,0.16241241935185696,12,December,2025Q4
O005636,2025-12-25,C0028,P0025,S002,6,0.1,7986.01,6243.36,1742.65,0.2182128497209495,12,December,2025Q4
O005693,2025-12-25,C0079,P0033,S006,5,0.15,126536.78,105976.15,20560.63,0.16248738113930195,12,December,2025Q4
O000185,2025-12-24,C0543,P0055,S008,8,0.1,228270.17,213282.8,14987.37,0.06565627913625333,12,December,2025Q4
O000268,2025-12-24,C0553,P0023,S019,8,0.2,277792.51,224553.12,53239.39,0.1916516395636441,12,December,2025Q4
O000881,2025-12-24,C0447,P0003,S006,5,0.2,46511.2,39564.3,6946.9,0.1493597241094618,12,December,2025Q4
O001101,2025-12-24,C0969,P0006,S008,3,0.05,5531.54,4417.05,1114.49,0.20147915408728853,12,December,2025Q4
O001631,2025-12-24,C0820,P0014,S015,7,0.1,175319.93,132975.36,42344.57,0.2415274179039428,12,December,2025Q4
O001642,2025-12-24,C0332,P0076,S019,6,0.15,197266.67,162616.56,34650.11,0.17565111227355334,12,December,2025Q4
O001902,2025-12-24,C0966,P0068,S007,3,0.0,59069.19,49244.88,9824.31,0.16631868491848287,12,December,2025Q4
O002489,2025-12-24,C0441,P0003,S023,6,0.2,55813.44,47477.16,8336.28,0.1493597241094618,12,December,2025Q4
O002556,2025-12-24,C0700,P0049,S006,7,0.0,117536.79,81906.51,35630.28,0.3031415099901912,12,December,2025Q4
O002695,2025-12-24,C0069,P0096,S008,8,0.15,44000.49,33637.52,10362.97,0.23551942262461167,12,December,2025Q4
O002798,2025-12-24,C0652,P0012,S017,3,0.15,6379.9,6051.54,328.36,0.05146789134625935,12,December,2025Q4
O003376,2025-12-24,C0964,P0011,S022,3,0.0,35000.4,26982.39,8018.01,0.2290833819042068,12,December,2025Q4
O003402,2025-12-24,C0987,P0048,S008,1,0.0,9154.82,7848.41,1306.41,0.1427018772624694,12,December,2025Q4
O003715,2025-12-24,C0204,P0015,S024,1,0.0,29950.22,23501.09,6449.13,0.2153283014281698,12,December,2025Q4
O004146,2025-12-24,C0619,P0029,S024,4,0.0,1335.16,881.48,453.68,0.33979448156026243,12,December,2025Q4
O004663,2025-12-24,C0226,P0035,S020,1,0.0,41581.78,28471.07,13110.71,0.31529939314767186,12,December,2025Q4
O004691,2025-12-24,C0542,P0103,S012,1,0.0,10049.49,7634.81,2414.68,0.2402788599222448,12,December,2025Q4
O004941,2025-12-24,C0721,P0035,S011,2,0.2,66530.85,56942.14,9588.71,0.14412426716327836,12,December,2025Q4
O005049,2025-12-24,C0263,P0099,S015,1,0.05,18661.94,14636.92,4025.02,0.21568068485913042,12,December,2025Q4
O005927,2025-12-24,C0831,P0076,S018,4,0.05,146983.01,108411.04,38571.97,0.26242468432235805,12,December,2025Q4
O000546,2025-12-23,C0189,P0033,S010,8,0.2,190549.5,169561.84,20987.66,0.1101428237806974,12,December,2025Q4
O000582,2025-12-23,C0379,P0071,S006,8,0.0,53414.48,37629.52,15784.96,0.29551836880186794,12,December,2025Q4
O000616,2025-12-23,C0842,P0013,S015,8,0.0,73745.76,49150.72,24595.04,0.3335112418666511,12,December,2025Q4
O000748,2025-12-23,C0481,P0076,S001,6,0.1,208870.6,162616.56,46254.04,0.22144830339932953,12,December,2025Q4
O001116,2025-12-23,C0049,P0108,S021,2,0.1,57404.86,45038.08,12366.78,0.21543088860420528,12,December,2025Q4
O001175,2025-12-23,C0428,P0068,S014,5,0.2,78758.92,82074.8,-3315.88,-0.042101643851896395,12,December,2025Q4
O001224,2025-12-23,C0946,P0025,S023,7,0.0,10352.23,7283.92,3068.31,0.29639121232816507,12,December,2025Q4
O001227,2025-12-23,C0495,P0038,S005,4,0.0,117810.36,80131.36,37679.0,0.31982756015684866,12,December,2025Q4
O001260,2025-12-23,C0662,P0025,S023,6,0.15,7542.34,6243.36,1298.98,0.17222506543062233,12,December,2025Q4
O001394,2025-12-23,C0721,P0019,S013,1,0.2,25713.47,24297.89,1415.58,0.05505207970763961,12,December,2025Q4
O001534,2025-12-23,C0466,P0064,S021,2,0.05,65313.45,49504.28,15809.17,0.2420507567736814,12,December,2025Q4
O001784,2025-12-23,C0408,P0091,S005,8,0.1,44636.54,35894.48,8742.06,0.19584985753824108,12,December,2025Q4
O001875,2025-12-23,C0089,P0073,S015,2,0.0,16001.0,13959.76,2041.24,0.12756952690456846,12,December,2025Q4
O002407,2025-12-23,C0425,P0071,S003,1,0.0,6676.81,4703.69,1973.12,0.29551836880186794,12,December,2025Q4
O002770,2025-12-23,C0747,P0001,S016,4,0.1,21733.99,16381.24,5352.75,0.24628473648879012,12,December,2025Q4
O003444,2025-12-23,C0153,P0029,S005,3,0.2,801.1,661.11,139.99,0.1747472225689677,12,December,2025Q4
O003572,2025-12-23,C0591,P0068,S018,8,0.2,126014.27,131319.68,-5305.41,-0.04210166039131917,12,December,2025Q4
O004293,2025-12-23,C0606,P0069,S022,4,0.0,26247.6,23040.68,3206.92,0.12217955165424649,12,December,2025Q4
O004684,2025-12-23,C0086,P0048,S022,8,0.05,69576.63,62787.28,6789.35,0.09758089749388552,12,December,2025Q4
O005231,2025-12-23,C0598,P0099,S013,1,0.1,17679.74,14636.92,3042.82,0.17210773461600679,12,December,2025Q4
O005703,2025-12-23,C0070,P0008,S009,7,0.1,95301.11,81237.38,14063.73,0.14757152356357653,12,December,2025Q4
O000019,2025-12-22,C0899,P0045,S010,3,0.0,23424.45,15609.15,7815.3,0.33363856995575136,12,December,2025Q4
O000030,2025-12-22,C0703,P0081,S001,5,0.1,187101.54,149593.1,37508.44,0.20047103834634392,12,December,2025Q4
O000431,2025-12-22,C0881,P0036,S011,7,0.15,81810.42,67585.35,14225.07,0.17387846193675574,12,December,2025Q4
O000586,2025-12-22,C0827,P0102,S025,8,0.2,8180.86,8501.28,-320.42,-0.03916703133900348,12,December,2025Q4
O000795,2025-12-22,C0029,P0098,S002,3,0.2,48517.08,40089.45,8427.63,0.17370439441120528,12,December,2025Q4
O001014,2025-12-22,C0067,P0101,S005,1,0.1,16228.25,15302.5,925.75,0.057045584089473605,12,December,2025Q4
O001055,2025-12-22,C0495,P0092,S016,8,0.05,136551.94,95956.96,40594.98,0.29728599974485903,12,December,2025Q4
O001131,2025-12-22,C0137,P0043,S006,6,0.2,107688.62,115568.82,-7880.2,-0.07317579146245907,12,December,2025Q4
O001385,2025-12-22,C0997,P0053,S020,6,0.0,163457.82,144096.0,19361.82,0.11845147573851161,12,December,2025Q4
O002255,2025-12-22,C0408,P0037,S018,5,0.05,175578.81,133550.45,42028.36,0.23937034315245673,12,December,2025Q4
O002260,2025-12-22,C0826,P0009,S008,7,0.15,200894.19,190872.29,10021.9,0.04988646013107696,12,December,2025Q4
O002433,2025-12-22,C0571,P0035,S009,1,0.2,33265.42,28471.07,4794.35,0.1441241385198203,12,December,2025Q4
O002869,2025-12-22,C0099,P0015,S024,3,0.1,80865.59,70503.27,10362.32,0.12814251401615942,12,December,2025Q4
O002901,2025-12-22,C0580,P0079,S014,6,0.0,256870.5,175023.06,81847.44,0.31863308554310443,12,December,2025Q4
O002970,2025-12-22,C0671,P0057,S003,6,0.0,266776.02,177367.38,89408.64,0.33514496542830197,12,December,2025Q4
O003665,2025-12-22,C0037,P0103,S021,4,0.15,34168.27,30539.24,3629.03,0.10621052807180464,12,December,2025Q4
O003742,2025-12-22,C0114,P0046,S019,7,0.15,172019.74,141167.11,30852.63,0.17935517167971537,12,December,2025Q4
O004215,2025-12-22,C0455,P0006,S005,7,0.1,12227.61,10306.45,1921.16,0.15711655834623448,12,December,2025Q4
O004223,2025-12-22,C0048,P0054,S001,3,0.1,25106.84,23944.83,1162.01,0.04628260665221111,12,December,2025Q4
O004472,2025-12-22,C0490,P0109,S016,2,0.15,23709.87,23439.32,270.55,0.01141085969682668,12,December,2025Q4
O005254,2025-12-22,C0432,P0116,S008,2,0.0,24737.82,18407.84,6329.98,0.25588269297779676,12,December,2025Q4
O005859,2025-12-22,C0569,P0020,S009,7,0.0,323023.82,209917.75,113106.07,0.3501477692883454,12,December,2025Q4
O001033,2025-12-21,C0340,P0110,S019,6,0.15,183583.68,154451.46,29132.22,0.158686327673571,12,December,2025Q4
O001205,2025-12-21,C0341,P0112,S008,2,0.2,61222.11,54726.32,6495.79,0.106102027519143,12,December,2025Q4
O001455,2025-12-21,C0585,P0050,S001,4,0.0,76426.04,59575.36,16850.68,0.2204834896587603,12,December,2025Q4
O003021,2025-12-21,C0439,P0043,S001,3,0.0,67305.39,57784.41,9520.98,0.14145939871977564,12,December,2025Q4
O003289,2025-12-21,C0535,P0050,S015,7,0.1,120371.01,104256.88,16114.13,0.13387052247879286,12,December,2025Q4
O003627,2025-12-21,C0691,P0103,S022,7,0.15,59794.47,53443.67,6350.8,0.10621049070256831,12,December,2025Q4
O004110,2025-12-21,C0142,P0046,S020,3,0.0,86732.64,60500.19,26232.45,0.3024518797075703,12,December,2025Q4
O000028,2025-12-20,C0119,P0054,S015,7,0.0,65091.81,55871.27,9220.54,0.14165438017471016,12,December,2025Q4
O000342,2025-12-20,C0720,P0074,S004,5,0.0,85575.05,63376.2,22198.85,0.2594079699632077,12,December,2025Q4
O000539,2025-12-20,C0185,P0041,S018,1,0.2,29670.75,25552.56,4118.19,0.13879628927479082,12,December,2025Q4
O000623,2025-12-20,C0341,P0068,S002,5,0.1,88603.78,82074.8,6528.98,0.07368737541445748,12,December,2025Q4
O001117,2025-12-20,C0316,P0057,S002,1,0.0,44462.67,29561.23,14901.44,0.335144965428302,12,December,2025Q4
O002017,2025-12-20,C0735,P0059,S006,1,0.15,1927.09,1795.96,131.13,0.06804560243683482,12,December,2025Q4
O002351,2025-12-20,C0362,P0053,S015,8,0.05,207046.57,192128.0,14918.57,0.07205417602426352,12,December,2025Q4
O002754,2025-12-20,C0789,P0071,S014,6,0.0,40060.86,28222.14,11838.72,0.29551836880186794,12,December,2025Q4
O002802,2025-12-20,C0025,P0111,S024,1,0.0,26301.13,19617.3,6683.83,0.25412710404457906,12,December,2025Q4
O002882,2025-12-20,C0711,P0003,S020,1,0.15,9883.63,7912.86,1970.77,0.19939738739714055,12,December,2025Q4
O003709,2025-12-20,C0066,P0006,S010,3,0.15,4949.27,4417.05,532.22,0.10753505062362732,12,December,2025Q4
O003714,2025-12-20,C0540,P0013,S021,3,0.15,23506.46,18431.52,5074.94,0.2158955453096723,12,December,2025Q4
O004704,2025-12-20,C0965,P0043,S023,1,0.2,17948.1,19261.47,-1313.37,-0.07317599077339662,12,December,2025Q4
O004749,2025-12-20,C0171,P0100,S025,1,0.0,18484.96,15555.04,2929.92,0.1585029126381664,12,December,2025Q4
O005057,2025-12-20,C0888,P0013,S017,8,0.1,66371.18,49150.72,17220.46,0.25945689077699086,12,December,2025Q4
O005093,2025-12-20,C0095,P0104,S021,5,0.05,37244.61,30667.35,6577.26,0.17659629138283364,12,December,2025Q4
O000434,2025-12-19,C0620,P0120,S023,5,0.1,55139.26,49445.4,5693.86,0.10326326468654094,12,December,2025Q4
O001085,2025-12-19,C0618,P0063,S001,3,0.0,6138.42,5472.72,665.7,0.10844810228039138,12,December,2025Q4
O001234,2025-12-19,C0611,P0023,S021,7,0.2,243068.45,196483.98,46584.47,0.1916516520346429,12,December,2025Q4
O001353,2025-12-19,C0392,P0084,S009,4,0.1,85520.27,62746.84,22773.43,0.26629277480064084,12,December,2025Q4
O001520,2025-12-19,C0012,P0092,S011,4,0.1,64682.5,47978.48,16704.02,0.25824635720635414,12,December,2025Q4
O001540,2025-12-19,C0628,P0102,S013,5,0.2,5113.04,5313.3,-200.26,-0.039166523242532815,12,December,2025Q4
O001621,2025-12-19,C0206,P0015,S003,1,0.0,29950.22,23501.09,6449.13,0.2153283014281698,12,December,2025Q4
O001768,2025-12-19,C0323,P0115,S002,7,0.0,235862.97,179040.89,56822.08,0.2409114071615396,12,December,2025Q4
O002308,2025-12-19,C0838,P0047,S015,3,0.1,1763.07,1618.77,144.3,0.0818458711225306,12,December,2025Q4
O002471,2025-12-19,C0602,P0080,S012,8,0.0,158408.72,102532.56,55876.16,0.35273411716223707,12,December,2025Q4
O002649,2025-12-19,C0328,P0075,S008,8,0.1,252515.66,211786.32,40729.34,0.16129431339030614,12,December,2025Q4
O002804,2025-12-19,C0195,P0062,S004,8,0.15,109834.55,95267.92,14566.63,0.1326233867212093,12,December,2025Q4
O002841,2025-12-19,C0349,P0005,S010,1,0.05,38115.71,27171.32,10944.39,0.2871359342381396,12,December,2025Q4
O002855,2025-12-19,C0387,P0043,S016,8,0.05,170506.99,154091.76,16415.23,0.09627306188444239,12,December,2025Q4
O003338,2025-12-19,C0269,P0092,S015,4,0.0,71869.44,47978.48,23890.96,0.33242168020232243,12,December,2025Q4
O003717,2025-12-19,C0764,P0022,S023,1,0.0,26771.84,17355.62,9416.22,0.3517210621309555,12,December,2025Q4
O003919,2025-12-19,C0391,P0028,S002,8,0.0,69272.72,57057.44,12215.28,0.17633608150510044,12,December,2025Q4
O003991,2025-12-19,C0333,P0116,S005,8,0.0,98951.28,73631.36,25319.92,0.25588269297779676,12,December,2025Q4
O005473,2025-12-19,C0677,P0020,S019,3,0.05,131516.84,89964.75,41552.09,0.3159450151022485,12,December,2025Q4
O000022,2025-12-18,C0138,P0044,S016,6,0.0,69683.7,60412.92,9270.78,0.13304086895500672,12,December,2025Q4
O000178,2025-12-18,C0351,P0119,S015,2,0.0,7852.04,6843.04,1009.0,0.1285016377909435,12,December,2025Q4
O000233,2025-12-18,C0795,P0023,S015,2,0.2,69448.13,56138.28,13309.85,0.19165166866264072,12,December,2025Q4
O000393,2025-12-18,C0027,P0046,S003,8,0.0,231287.04,161333.84,69953.2,0.30245187970757026,12,December,2025Q4
O000767,2025-12-18,C0616,P0031,S013,4,0.0,4682.08,3412.0,1270.08,0.2712640535830229,12,December,2025Q4
O000799,2025-12-18,C0421,P0102,S011,8,0.1,9203.47,8501.28,702.19,0.07629622305499992,12,December,2025Q4
O000852,2025-12-18,C0731,P0020,S016,2,0.05,87677.89,59976.5,27701.39,0.31594498909588264,12,December,2025Q4
O001885,2025-12-18,C0852,P0022,S002,7,0.0,187402.88,121489.34,65913.54,0.35172106213095544,12,December,2025Q4
O001970,2025-12-18,C0984,P0082,S025,6,0.15,71081.86,58371.18,12710.68,0.178817492958119,12,December,2025Q4
O002483,2025-12-18,C0159,P0108,S003,4,0.1,114809.72,90076.16,24733.56,0.21543088860420528,12,December,2025Q4
O002525,2025-12-18,C0703,P0047,S023,6,0.0,3917.94,3237.54,680.4,0.1736626900871376,12,December,2025Q4
O002559,2025-12-18,C0958,P0073,S008,2,0.1,14400.9,13959.76,441.14,0.03063280767174274,12,December,2025Q4
O002907,2025-12-18,C0904,P0019,S025,4,0.15,109282.26,97191.56,12090.7,0.11063735321725596,12,December,2025Q4
O002948,2025-12-18,C0622,P0057,S008,7,0.0,311238.69,206928.61,104310.08,0.33514496542830197,12,December,2025Q4
O003212,2025-12-18,C0800,P0062,S012,4,0.2,51686.85,47633.96,4052.89,0.0784124008330939,12,December,2025Q4
O003273,2025-12-18,C0667,P0097,S024,6,0.0,64145.1,49372.32,14772.78,0.23030254844095654,12,December,2025Q4
O003374,2025-12-18,C0720,P0023,S006,1,0.1,39064.57,28069.14,10995.43,0.28146809244284526,12,December,2025Q4
O003394,2025-12-18,C0581,P0044,S005,1,0.05,11033.25,10068.82,964.43,0.08741123422382344,12,December,2025Q4
