Customer_ID,Customer_Name,Gender,Age,City,State,Region,Customer_Segment,Region_Clean
C0059,Customer 0059,Male,23,Mumbai,Maharashtra,West,Corporate,West
C0060,Customer 0060,Other,36,Chennai,Tamil Nadu,South,Corporate,South
C0061,Customer 0061,Male,55,Kolkata,West Bengal,East,Consumer,East
C0062,Customer 0062,Other,51,Kochi,Kerala,South,Consumer,South
C0063,Customer 0063,Female,33,Kolkata,West Bengal,East,Consumer,East
C0064,Customer 0064,Other,48,Chennai,Tamil Nadu,South,Corporate,South
C0065,Customer 0065,Female,50,Jaipur,Rajasthan,North,Small Business,North
C0066,Customer 0066,Other,62,Bengaluru,Karnataka,South,Small Business,South
C0067,Customer 0067,Male,46,Chennai,Tamil Nadu,South,Small Business,South
C0068,Customer 0068,Male,36,Delhi,Delhi,North,Consumer,North
C0069,Customer 0069,Other,49,Mumbai,Maharashtra,West,Consumer,West
C0070,Customer 0070,Male,38,Jaipur,Rajasthan,North,Corporate,North
C0071,Customer 0071,Male,49,Mumbai,Maharashtra,West,Small Business,West
C0072,Customer 0072,Male,62,Chennai,Tamil Nadu,South,Small Business,South
C0073,Customer 0073,Male,36,Bengaluru,Karnataka,South,Consumer,South
C0074,Customer 0074,Female,51,Jaipur,Rajasthan,North,Consumer,North
C0075,Customer 0075,Male,31,Jaipur,Rajasthan,North,Corporate,North
C0076,Customer 0076,Female,37,Bengaluru,Karnataka,South,Corporate,South
C0077,Customer 0077,Female,65,Pune,Maharashtra,West,Small Business,West
C0078,Customer 0078,Other,52,Ahmedabad,Gujarat,West,Unknown,West
C0079,Customer 0079,Female,34,Mumbai,Maharashtra,West,Consumer,West
C0080,Customer 0080,Other,55,Kochi,Kerala,South,Consumer,South
C0081,Customer 0081,Male,24,Delhi,Delhi,North,Small Business,North
C0082,Customer 0082,Other,54,Kolkata,West Bengal,East,Consumer,East
C0083,Customer 0083,Other,26,Bengaluru,Karnataka,South,Consumer,South
C0084,Customer 0084,Other,25,Chennai,Tamil Nadu,South,Small Business,South
C0085,Customer 0085,Female,28,Mumbai,Maharashtra,West,Small Business,West
C0086,Customer 0086,Other,59,Mumbai,Maharashtra,West,Consumer,West
C0087,Customer 0087,Male,47,Kochi,Kerala,South,Small Business,South
C0088,Customer 0088,Other,54,Kochi,Kerala,South,Corporate,South
C0089,Customer 0089,Male,63,Pune,Maharashtra,West,Small Business,West
C0090,Customer 0090,Male,37,Delhi,Delhi,North,Corporate,North
C0091,Customer 0091,Other,62,Hyderabad,Telangana,South,Corporate,South
C0092,Customer 0092,Female,25,Kolkata,West Bengal,East,Consumer,East
C0093,Customer 0093,Other,57,Kolkata,West Bengal,East,Consumer,East
C0094,Customer 0094,Other,34,Chennai,Tamil Nadu,South,Small Business,South
C0095,Customer 0095,Male,43,Pune,Maharashtra,West,Consumer,West
C0096,Customer 0096,Female,39,Mumbai,Maharashtra,West,Consumer,West
C0097,Customer 0097,Other,40,Kolkata,West Bengal,East,Small Business,East
C0098,Customer 0098,Male,63,Ahmedabad,Gujarat,West,Small Business,West
C0099,Customer 0099,Other,27,Pune,Maharashtra,West,Consumer,West
C0100,Customer 0100,Male,27,Pune,Maharashtra,West,Small Business,West
C0101,Customer 0101,Male,38,Ahmedabad,Gujarat,West,Corporate,West
C0102,Customer 0102,Male,42,Kochi,Kerala,South,Consumer,South
C0103,Customer 0103,Other,52,Pune,Maharashtra,West,Corporate,West
C0104,Customer 0104,Male,61,Bengaluru,Karnataka,South,Corporate,South
C0105,Customer 0105,Male,21,Pune,Maharashtra,West,Corporate,West
C0106,Customer 0106,Other,37,Hyderabad,Telangana,South,Consumer,South
C0107,Customer 0107,Other,48,Kolkata,West Bengal,East,Small Business,East
C0108,Customer 0108,Male,25,Bengaluru,Karnataka,South,Small Business,South
C0109,Customer 0109,Other,23,Hyderabad,Telangana,South,Corporate,South
C0110,Customer 0110,Other,30,Kochi,Kerala,South,Corporate,South
C0111,Customer 0111,Male,40,Hyderabad,Telangana,South,Corporate,South
C0112,Customer 0112,Female,34,Bengaluru,Karnataka,South,Small Business,South
C0113,Customer 0113,Other,27,Mumbai,Maharashtra,West,Corporate,West
C0114,Customer 0114,Female,60,Ahmedabad,Gujarat,West,Small Business,West
C0115,Customer 0115,Male,31,Hyderabad,Telangana,South,Consumer,South
C0116,Customer 0116,Male,32,Jaipur,Rajasthan,North,Small Business,North
C0117,Customer 0117,Female,63,Delhi,Delhi,North,Small Business,North
C0118,Customer 0118,Female,31,Mumbai,Maharashtra,West,Small Business,West
C0119,Customer 0119,Female,23,Chennai,Tamil Nadu,South,Corporate,South
C0120,Customer 0120,Male,50,Mumbai,Maharashtra,West,Corporate,West
C0121,Customer 0121,Male,35,Pune,Maharashtra,West,Consumer,West
C0122,Customer 0122,Female,42,Mumbai,Maharashtra,West,Corporate,West
C0123,Customer 0123,Female,43,Chennai,Tamil Nadu,South,Small Business,South
C0124,Customer 0124,Female,64,Ahmedabad,Gujarat,West,Small Business,West
C0125,Customer 0125,Male,28,Delhi,Delhi,North,Corporate,North
C0126,Customer 0126,Other,37,Hyderabad,Telangana,South,Consumer,South
C0127,Customer 0127,Other,48,Chennai,Tamil Nadu,South,Corporate,South
C0128,Customer 0128,Female,59,Delhi,Delhi,North,Small Business,North
C0129,Customer 0129,Female,57,Chennai,Tamil Nadu,South,Consumer,South
C0130,Customer 0130,Male,48,Pune,Maharashtra,West,Consumer,West
C0131,Customer 0131,Other,64,Ahmedabad,Gujarat,West,Small Business,West
C0132,Customer 0132,Female,48,Mumbai,Maharashtra,West,Consumer,West
C0133,Customer 0133,Other,41,Delhi,Delhi,North,Small Business,North
C0134,Customer 0134,Other,40,Chennai,Tamil Nadu,South,Small Business,South
C0135,Customer 0135,Other,47,Pune,Maharashtra,West,Corporate,West
C0136,Customer 0136,Other,39,Jaipur,Rajasthan,North,Small Business,North
C0137,Customer 0137,Male,47,Hyderabad,Telangana,South,Small Business,South
C0138,Customer 0138,Other,32,Jaipur,Rajasthan,North,Small Business,North
C0139,Customer 0139,Female,46,Kochi,Kerala,South,Small Business,South
C0140,Customer 0140,Female,39,Bengaluru,Karnataka,South,Consumer,South
C0141,Customer 0141,Other,59,Jaipur,Rajasthan,North,Small Business,North
C0142,Customer 0142,Female,49,Delhi,Delhi,North,Corporate,North
C0143,Customer 0143,Other,51,Mumbai,Maharashtra,West,Small Business,West
C0144,Customer 0144,Other,26,Hyderabad,Telangana,South,Corporate,South
C0145,Customer 0145,Other,61,Ahmedabad,Gujarat,West,Small Business,West
C0146,Customer 0146,Male,36,Delhi,Delhi,North,Small Business,North
C0147,Customer 0147,Male,33,Pune,Maharashtra,West,Consumer,West
C0148,Customer 0148,Male,36,Bengaluru,Karnataka,South,Corporate,South
C0149,Customer 0149,Male,50,Kochi,Kerala,South,Corporate,South
C0150,Customer 0150,Male,65,Kochi,Kerala,South,Corporate,South
C0151,Customer 0151,Female,36,Kolkata,West Bengal,East,Consumer,East
C0152,Customer 0152,Male,48,Bengaluru,Karnataka,South,Consumer,South
C0153,Customer 0153,Other,54,Hyderabad,Telangana,South,Corporate,South
C0154,Customer 0154,Other,36,Bengaluru,Karnataka,South,Consumer,South
C0155,Customer 0155,Male,50,Kolkata,West Bengal,East,Small Business,East
C0156,Customer 0156,Other,59,Ahmedabad,Gujarat,West,Corporate,West
C0157,Customer 0157,Other,53,Kolkata,West Bengal,East,Corporate,East
C0158,Customer 0158,Female,31,Ahmedabad,Gujarat,West,Small Business,West
C0159,Customer 0159,Female,37,Kolkata,West Bengal,East,Consumer,East
C0160,Customer 0160,Other,52,Pune,Maharashtra,West,Small Business,West
C0161,Customer 0161,Female,49,Mumbai,Maharashtra,West,Consumer,West
C0162,Customer 0162,Male,38,Pune,Maharashtra,West,Corporate,West
C0163,Customer 0163,Other,26,Delhi,Delhi,North,Consumer,North
C0164,Customer 0164,Male,45,Hyderabad,Telangana,South,Small Business,South
C0165,Customer 0165,Other,34,Hyderabad,Telangana,South,Consumer,South
C0166,Customer 0166,Female,42,Jaipur,Rajasthan,North,Small Business,North
C0167,Customer 0167,Female,24,Kolkata,West Bengal,East,Consumer,East
C0168,Customer 0168,Female,58,Jaipur,Rajasthan,North,Small Business,North
C0169,Customer 0169,Other,45,Bengaluru,Karnataka,South,Corporate,South
C0170,Customer 0170,Female,40,Bengaluru,Karnataka,South,Corporate,South
C0171,Customer 0171,Other,55,Jaipur,Rajasthan,North,Small Business,North
C0172,Customer 0172,Female,35,Mumbai,Maharashtra,West,Corporate,West
C0173,Customer 0173,Female,22,Jaipur,Rajasthan,North,Corporate,North
C0174,Customer 0174,Other,64,Delhi,Delhi,North,Corporate,North
C0175,Customer 0175,Female,29,Hyderabad,Telangana,South,Small Business,South
C0176,Customer 0176,Male,46,Ahmedabad,Gujarat,West,Small Business,West
C0177,Customer 0177,Other,22,Kochi,Kerala,South,Consumer,South
C0178,Customer 0178,Male,50,Jaipur,Rajasthan,North,Consumer,North
C0179,Customer 0179,Female,45,Bengaluru,Karnataka,South,Corporate,South
C0180,Customer 0180,Female,41,Mumbai,Maharashtra,West,Corporate,West
C0181,Customer 0181,Female,47,Jaipur,Rajasthan,North,Corporate,North
C0182,Customer 0182,Female,22,Chennai,Tamil Nadu,South,Small Business,South
C0183,Customer 0183,Male,43,Ahmedabad,Gujarat,West,Consumer,West
C0184,Customer 0184,Other,23,Chennai,Tamil Nadu,South,Consumer,South
C0185,Customer 0185,Male,22,Mumbai,Maharashtra,West,Small Business,West
C0186,Customer 0186,Male,29,Hyderabad,Telangana,South,Corporate,South
C0187,Customer 0187,Other,34,Chennai,Tamil Nadu,South,Corporate,South
C0188,Customer 0188,Female,31,Pune,Maharashtra,West,Small Business,West
C0189,Customer 0189,Other,28,Kochi,Kerala,South,Consumer,South
C0190,Customer 0190,Male,58,Pune,Maharashtra,West,Consumer,West
C0191,Customer 0191,Other,64,Pune,Maharashtra,West,Corporate,West
C0192,Customer 0192,Other,33,Jaipur,Rajasthan,North,Consumer,North
C0193,Customer 0193,Other,61,Kochi,Kerala,South,Consumer,South
C0194,Customer 0194,Other,40,Chennai,Tamil Nadu,South,Small Business,South
C0195,Customer 0195,Male,57,Kochi,Kerala,South,Consumer,South
C0196,Customer 0196,Other,48,Delhi,Delhi,North,Small Business,North
C0197,Customer 0197,Male,53,Delhi,Delhi,North,Small Business,North
C0198,Customer 0198,Male,47,Delhi,Delhi,North,Corporate,North
C0199,Customer 0199,Female,44,Chennai,Tamil Nadu,South,Small Business,South
C0200,Customer 0200,Other,30,Kolkata,West Bengal,East,Corporate,East
C0201,Customer 0201,Other,54,Hyderabad,Telangana,South,Small Business,South
C0202,Customer 0202,Other,55,Pune,Maharashtra,West,Corporate,West
C0203,Customer 0203,Female,58,Kolkata,West Bengal,East,Corporate,East
C0204,Customer 0204,Male,26,Delhi,Delhi,North,Corporate,North
C0205,Customer 0205,Male,50,Kolkata,West Bengal,East,Small Business,East
C0206,Customer 0206,Other,45,Kochi,Kerala,South,Corporate,South
C0207,Customer 0207,Female,41,Bengaluru,Karnataka,South,Consumer,South
C0208,Customer 0208,Male,43,Kolkata,West Bengal,East,Corporate,East
C0209,Customer 0209,Female,59,Delhi,Delhi,North,Small Business,North
C0210,Customer 0210,Other,21,Pune,Maharashtra,West,Small Business,West
C0211,Customer 0211,Male,36,Mumbai,Maharashtra,West,Small Business,West
C0212,Customer 0212,Female,56,Jaipur,Rajasthan,North,Consumer,North
C0213,Customer 0213,Other,52,Kolkata,West Bengal,East,Corporate,East
C0214,Customer 0214,Male,39,Bengaluru,Karnataka,South,Consumer,South
C0215,Customer 0215,Other,36,Jaipur,Rajasthan,North,Corporate,North
C0216,Customer 0216,Female,51,Kochi,Kerala,South,Small Business,South
C0217,Customer 0217,Female,48,Ahmedabad,Gujarat,West,Small Business,West
C0218,Customer 0218,Female,43,Ahmedabad,Gujarat,West,Small Business,West
C0219,Customer 0219,Female,40,Kolkata,West Bengal,East,Corporate,East
C0220,Customer 0220,Male,33,Mumbai,Maharashtra,West,Corporate,West
C0221,Customer 0221,Other,55,Chennai,Tamil Nadu,South,Small Business,South
C0222,Customer 0222,Male,34,Hyderabad,Telangana,South,Small Business,South
C0223,Customer 0223,Female,58,Kolkata,West Bengal,East,Small Business,East
C0224,Customer 0224,Female,27,Kochi,Kerala,South,Consumer,South
C0225,Customer 0225,Male,44,Pune,Maharashtra,West,Consumer,West
C0226,Customer 0226,Male,55,Pune,Maharashtra,West,Consumer,West
C0227,Customer 0227,Male,24,Pune,Maharashtra,West,Small Business,West
C0228,Customer 0228,Other,29,Pune,Maharashtra,West,Small Business,West
C0229,Customer 0229,Male,21,Kolkata,West Bengal,East,Small Business,East
C0230,Customer 0230,Female,51,Pune,Maharashtra,West,Corporate,West
C0231,Customer 0231,Male,24,Delhi,Delhi,North,Corporate,North
C0232,Customer 0232,Male,25,Kolkata,West Bengal,East,Corporate,East
C0233,Customer 0233,Male,57,Kolkata,West Bengal,East,Small Business,East
C0234,Customer 0234,Male,30,Bengaluru,Karnataka,South,Small Business,South
C0235,Customer 0235,Male,36,Pune,Maharashtra,West,Consumer,West
C0236,Customer 0236,Female,59,Ahmedabad,Gujarat,West,Small Business,West
C0237,Customer 0237,Male,54,Kochi,Kerala,South,Corporate,South
C0238,Customer 0238,Female,40,Kolkata,West Bengal,East,Small Business,East
C0239,Customer 0239,Female,57,Jaipur,Rajasthan,North,Small Business,North
C0240,Customer 0240,Other,27,Bengaluru,Karnataka,South,Consumer,South
C0241,Customer 0241,Female,63,Mumbai,Maharashtra,West,Consumer,West
C0242,Customer 0242,Male,32,Hyderabad,Telangana,South,Small Business,South
C0243,Customer 0243,Male,21,Chennai,Tamil Nadu,South,Corporate,South
C0244,Customer 0244,Other,59,Kolkata,West Bengal,East,Corporate,East
C0245,Customer 0245,Male,35,Pune,Maharashtra,West,Corporate,West
C0246,Customer 0246,Other,50,Pune,Maharashtra,West,Consumer,West
C0247,Customer 0247,Female,61,Mumbai,Maharashtra,West,Small Business,West
C0248,Customer 0248,Female,28,Mumbai,Maharashtra,West,Small Business,West
C0249,Customer 0249,Other,30,Mumbai,Maharashtra,West,Corporate,West
C0250,Customer 0250,Male,24,Hyderabad,Telangana,South,Consumer,South
C0251,Customer 0251,Other,57,Pune,Maharashtra,West,Corporate,West
C0252,Customer 0252,Male,50,Kolkata,West Bengal,East,Small Business,East
C0253,Customer 0253,Other,46,Pune,Maharashtra,West,Corporate,West
C0254,Customer 0254,Other,52,Ahmedabad,Gujarat,West,Corporate,West
C0255,Customer 0255,Other,23,Chennai,Tamil Nadu,South,Corporate,South
C0256,Customer 0256,Other,37,Delhi,Delhi,North,Consumer,North
C0257,Customer 0257,Male,64,Chennai,Tamil Nadu,South,Small Business,South
C0258,Customer 0258,Male,64,Kochi,Kerala,South,Corporate,South
C0259,Customer 0259,Male,32,Kochi,Kerala,South,Corporate,South
C0260,Customer 0260,Other,49,Ahmedabad,Gujarat,West,Corporate,West
C0261,Customer 0261,Other,48,Hyderabad,Telangana,South,Small Business,South
C0262,Customer 0262,Male,51,Kolkata,West Bengal,East,Corporate,East
C0263,Customer 0263,Female,41,Jaipur,Rajasthan,North,Small Business,North
C0264,Customer 0264,Male,42,Chennai,Tamil Nadu,South,Corporate,South
C0265,Customer 0265,Female,63,Kolkata,West Bengal,East,Corporate,East
C0266,Customer 0266,Male,50,Ahmedabad,Gujarat,West,Consumer,West
C0267,Customer 0267,Female,41,Delhi,Delhi,North,Consumer,North
C0268,Customer 0268,Other,21,Jaipur,Rajasthan,North,Small Business,North
C0269,Customer 0269,Female,47,Ahmedabad,Gujarat,West,Consumer,West
C0270,Customer 0270,Other,44,Mumbai,Maharashtra,West,Small Business,West
C0271,Customer 0271,Other,49,Kolkata,West Bengal,East,Consumer,East
C0272,Customer 0272,Female,56,Mumbai,Maharashtra,West,Consumer,West
C0273,Customer 0273,Female,65,Pune,Maharashtra,West,Corporate,West
C0274,Customer 0274,Male,61,Chennai,Tamil Nadu,South,Small Business,South
C0275,Customer 0275,Other,31,Mumbai,Maharashtra,West,Corporate,West
C0276,Customer 0276,Male,56,Ahmedabad,Gujarat,West,Corporate,West
C0277,Customer 0277,Male,28,Chennai,Tamil Nadu,South,Corporate,South
C0278,Customer 0278,Other,30,Chennai,Tamil Nadu,South,Corporate,South
C0279,Customer 0279,Other,38,Pune,Maharashtra,West,Corporate,West
C0280,Customer 0280,Female,36,Kolkata,West Bengal,East,Corporate,East
C0281,Customer 0281,Male,45,Ahmedabad,Gujarat,West,Consumer,West
C0282,Customer 0282,Other,29,Kochi,Kerala,South,Consumer,South
C0283,Customer 0283,Female,42,Pune,Maharashtra,West,Small Business,West
C0284,Customer 0284,Male,39,Pune,Maharashtra,West,Small Business,West
C0285,Customer 0285,Other,58,Pune,Maharashtra,West,Small Business,West
C0286,Customer 0286,Male,49,Kolkata,West Bengal,East,Small Business,East
C0287,Customer 0287,Female,42,Kolkata,West Bengal,East,Small Business,East
C0288,Customer 0288,Female,50,Ahmedabad,Gujarat,West,Corporate,West
C0289,Customer 0289,Other,36,Mumbai,Maharashtra,West,Small Business,West
C0290,Customer 0290,Male,47,Jaipur,Rajasthan,North,Consumer,North
C0291,Customer 0291,Other,51,Delhi,Delhi,North,Small Business,North
C0292,Customer 0292,Female,63,Jaipur,Rajasthan,North,Small Business,North
C0293,Customer 0293,Female,23,Hyderabad,Telangana,South,Consumer,South
C0294,Customer 0294,Other,42,Ahmedabad,Gujarat,West,Consumer,West
C0295,Customer 0295,Male,54,Kolkata,West Bengal,East,Corporate,East
C0296,Customer 0296,Other,30,Bengaluru,Karnataka,South,Corporate,South
C0297,Customer 0297,Male,51,Hyderabad,Telangana,South,Corporate,South
C0298,Customer 0298,Other,65,Delhi,Delhi,North,Corporate,North
C0299,Customer 0299,Female,64,Chennai,Tamil Nadu,South,Small Business,South
C0300,Customer 0300,Female,61,Jaipur,Rajasthan,North,Small Business,North
C0301,Customer 0301,Other,23,Kolkata,West Bengal,East,Small Business,East
C0302,Customer 0302,Male,61,Chennai,Tamil Nadu,South,Small Business,South
C0303,Customer 0303,Male,26,Pune,Maharashtra,West,Corporate,West
C0304,Customer 0304,Other,27,Chennai,Tamil Nadu,South,Corporate,South
C0305,Customer 0305,Other,40,Hyderabad,Telangana,South,Consumer,South
C0306,Customer 0306,Female,24,Bengaluru,Karnataka,South,Corporate,South
C0307,Customer 0307,Female,48,Delhi,Delhi,North,Consumer,North
C0308,Customer 0308,Other,47,Mumbai,Maharashtra,West,Small Business,West
C0309,Customer 0309,Male,32,Hyderabad,Telangana,South,Consumer,South
C0310,Customer 0310,Female,60,Kochi,Kerala,South,Small Business,South
C0311,Customer 0311,Female,58,Mumbai,Maharashtra,West,Consumer,West
C0312,Customer 0312,Female,61,Mumbai,Maharashtra,West,Corporate,West
C0313,Customer 0313,Female,63,Kolkata,West Bengal,East,Consumer,East
C0314,Customer 0314,Female,64,Kolkata,West Bengal,East,Small Business,East
C0315,Customer 0315,Male,49,Hyderabad,Telangana,South,Corporate,South
C0316,Customer 0316,Female,61,Kochi,Kerala,South,Corporate,South
C0317,Customer 0317,Female,40,Pune,Maharashtra,West,Consumer,West
C0318,Customer 0318,Female,27,Jaipur,Rajasthan,North,Consumer,North
C0319,Customer 0319,Other,43,Jaipur,Rajasthan,North,Small Business,North
C0320,Customer 0320,Other,39,Pune,Maharashtra,West,Consumer,West
C0321,Customer 0321,Female,21,Jaipur,Rajasthan,North,Small Business,North
C0322,Customer 0322,Other,52,Bengaluru,Karnataka,South,Corporate,South
C0323,Customer 0323,Other,43,Mumbai,Maharashtra,West,Consumer,West
C0324,Customer 0324,Other,37,Mumbai,Maharashtra,West,Small Business,West
C0325,Customer 0325,Other,27,Hyderabad,Telangana,South,Small Business,South
C0326,Customer 0326,Female,49,Bengaluru,Karnataka,South,Consumer,South
C0327,Customer 0327,Female,29,Kochi,Kerala,South,Consumer,South
C0328,Customer 0328,Female,47,Pune,Maharashtra,West,Consumer,West
C0329,Customer 0329,Male,55,Mumbai,Maharashtra,West,Corporate,West
C0330,Customer 0330,Other,38,Ahmedabad,Gujarat,West,Consumer,West
C0331,Customer 0331,Female,39,Pune,Maharashtra,West,Small Business,West
C0332,Customer 0332,Male,50,Delhi,Delhi,North,Consumer,North
C0333,Customer 0333,Male,64,Hyderabad,Telangana,South,Small Business,South
C0334,Customer 0334,Other,44,Jaipur,Rajasthan,North,Consumer,North
C0335,Customer 0335,Male,37,Jaipur,Rajasthan,North,Small Business,North
C0336,Customer 0336,Female,44,Chennai,Tamil Nadu,South,Small Business,South
C0337,Customer 0337,Other,45,Pune,Maharashtra,West,Small Business,West
C0338,Customer 0338,Male,64,Delhi,Delhi,North,Consumer,North
C0339,Customer 0339,Male,60,Kolkata,West Bengal,East,Small Business,East
C0340,Customer 0340,Other,35,Delhi,Delhi,North,Small Business,North
C0341,Customer 0341,Other,50,Chennai,Tamil Nadu,South,Small Business,South
C0342,Customer 0342,Other,47,Pune,Maharashtra,West,Consumer,West
C0343,Customer 0343,Male,23,Hyderabad,Telangana,South,Corporate,South
C0344,Customer 0344,Male,27,Kolkata,West Bengal,East,Consumer,East
C0345,Customer 0345,Male,45,Ahmedabad,Gujarat,West,Corporate,West
C0346,Customer 0346,Other,65,Delhi,Delhi,North,Small Business,North
C0347,Customer 0347,Other,30,Jaipur,Rajasthan,North,Corporate,North
C0348,Customer 0348,Female,60,Chennai,Tamil Nadu,South,Corporate,South
C0349,Customer 0349,Male,65,Pune,Maharashtra,West,Corporate,West
C0350,Customer 0350,Female,49,Mumbai,Maharashtra,West,Consumer,West
C0351,Customer 0351,Male,64,Delhi,Delhi,North,Corporate,North
C0352,Customer 0352,Other,43,Ahmedabad,Gujarat,West,Consumer,West
C0353,Customer 0353,Female,33,Jaipur,Rajasthan,North,Consumer,North
C0354,Customer 0354,Male,63,Kolkata,West Bengal,East,Consumer,East
C0355,Customer 0355,Male,24,Kochi,Kerala,South,Corporate,South
C0356,Customer 0356,Male,57,Mumbai,Maharashtra,West,Consumer,West
C0357,Customer 0357,Other,34,Chennai,Tamil Nadu,South,Small Business,South
C0358,Customer 0358,Male,42,Mumbai,Maharashtra,West,Consumer,West
C0359,Customer 0359,Male,38,Kochi,Kerala,South,Consumer,South
C0360,Customer 0360,Other,37,Hyderabad,Telangana,South,Consumer,South
C0361,Customer 0361,Other,22,Chennai,Tamil Nadu,South,Consumer,South
C0362,Customer 0362,Female,36,Bengaluru,Karnataka,South,Small Business,South
C0363,Customer 0363,Male,32,Delhi,Delhi,North,Corporate,North
C0364,Customer 0364,Male,47,Bengaluru,Karnataka,South,Small Business,South
C0365,Customer 0365,Other,25,Chennai,Tamil Nadu,South,Corporate,South
C0366,Customer 0366,Female,53,Kolkata,West Bengal,East,Small Business,East
C0367,Customer 0367,Female,53,Chennai,Tamil Nadu,South,Consumer,South
C0368,Customer 0368,Male,63,Kochi,Kerala,South,Small Business,South
C0369,Customer 0369,Female,62,Pune,Maharashtra,West,Consumer,West
C0370,Customer 0370,Female,46,Bengaluru,Karnataka,South,Corporate,South
C0371,Customer 0371,Female,49,Chennai,Tamil Nadu,South,Consumer,South
C0372,Customer 0372,Female,59,Chennai,Tamil Nadu,South,Consumer,South
C0373,Customer 0373,Male,38,Chennai,Tamil Nadu,South,Small Business,South
